atu_id,combos
1851,NA
1853,NA
1855,NA
1855A,NA
1855B,NA
1855C,NA
1855D,NA
1855E,NA
1856,NA
1857,NA
1860,NA
1860A,1738
1860B,NA
1860C,NA
1860D,NA
1860E,NA
1861,NA
1861*,NA
1861A,NA
1862,NA
1862A,NA
1862C,NA
1862D,NA
1862E,NA
1862F,NA
1864,NA
1865,NA
1867,NA
1868,NA
1870,NA
1871,NA
1871A,NA
1871B,NA
1871C,NA
1871D,NA
1871E,NA
1871F,NA
1871Z,NA
1775,1653
1775,1691
1775,1696
1776,NA
1777A*,NA
1781,NA
1785,NA
1785A,NA
1785B,1785C
1785B,1837
1785C,1785B
1786,NA
1790,NA
1791,NA
1791*,NA
1792,1536A
1792,1537
1792,1735A
1792B,NA
1800,1807A
1804,NA
1804*,NA
1804**,NA
1804B,NA
1804C,NA
1804D,NA
1804E,NA
1805,1698G
1805,1831A*
1805*,NA
1806,NA
1806*,NA
1806A*,NA
1807,1807A
1807A,1800
1807A,1807
1807A*,NA
1807B,NA
1810,NA
1811,NA
1811A,NA
1811B,NA
1820,NA
1821,NA
1822,NA
1823,NA
1824,1825
1825,1641
1825,1824
1825,1825
1825,1825B
1825,1825C
1825,1833
1825,2012
1825A,NA
1825B,1825
1825C,1641
1825C,1825
1825D*,NA
1826,NA
1826A*,NA
1827,NA
1827A,NA
1827B,NA
1828,NA
1828*,NA
1829,1572A*
1829,1572C*
1829,1875
1830,NA
1831,NA
1831A*,1805
1831B,NA
1831C,NA
1832,NA
1832*,NA
1832B*,NA
1832D*,NA
1832E*,NA
1832F*,NA
1832M*,NA
1832N*,NA
1832P*,NA
1832Q*,NA
1832R*,NA
1832S*,NA
1832T*,NA
1833,1699
1833,1825
1833A,NA
1833B,NA
1833C,NA
1833D,NA
1833E,NA
1833F,NA
1833H,NA
1833J,NA
1833K,NA
1833L,NA
1833M,NA
1834,NA
1834*,NA
1834A*,NA
1835*,NA
1835A*,NA
1835B*,NA
1835D*,NA
1836,NA
1836A,NA
1837,1785B
1837*,NA
1838,NA
1838*,NA
1839A,NA
1839B,NA
1840,NA
1840B,NA
1841,NA
1842,NA
1842A*,NA
1842C*,NA
1843,NA
1843A,NA
1844,NA
1845,NA
1847*,1533A
1848,NA
1848A,1739
1848D,NA
1849*,NA
1725,1358
1725,1358A?C
1725,1380
1725,1535
1730,882A*
1730,1536B
1731,NA
1734*,NA
1735,1525A
1735,1585
1735A,1536A
1735A,1642A
1735A,1792
1735B,NA
1736,NA
1736A,NA
1736B,NA
1737,940
1737,950
1737,1004
1737,1479*
1737,1525
1737,1525A
1737,1525D
1737,1525E
1737,1526
1737,1535
1738,1860A
1738,1889E
1738,1920C
1738,1960A
1738,1960G
1738B*,NA
1738D*,NA
