atu_id,tale_variant,motif_order,motif
1,1,1,K371.1
1,1,2,K341.2
1,1,3,K1026
1,2,1,K371.1
1,2,2,K341.2.1
1,2,3,K1026
10***,1,1,K891.5.1
10***,2,1,K891.5.2
100,1,1,J581.1
1000,1,1,F613.3
1000,2,1,K172
1001,1,1,D2186
1002,1,1,K1400
1004,1,1,K404.1
1004,1,2,K404.3
1004,1,3,K404.2
1005,1,1,K1441
1006,1,1,K1442
1008,1,1,K1412
1009,1,1,K1413
1009,1,2,K1417
101,1,1,K231.1.3
1010,1,1,K1415
1011,1,1,K1416
1012,1,1,K1461.1
1012A,1,1,K1461.3
1013,1,1,K1462
1015,1,1,W111.5.9
1015,1,2,K1418
1016,1,1,K1443
1017,1,1,K1425
102,1,1,K254.1
1029,1,1,K1691
103,1,1,B262
103,2,1,K2323
103,3,1,K2324
1030,1,1,K171.1
1031,1,1,K1422
1035,1,1,K1424
1035,1,2,K1424.1
1036,1,1,K171.4
1037,1,1,K171.5
103A,1,1,B281.9.1
1045,1,1,K1744
1048,1,1,K186
1049,1,1,K1741.1
1049,2,1,K1741.3
105,1,1,J1662
105*,1,1,K522
1050,1,1,K1421
1050,2,1,K178
1050,3,1,K44
1050,4,1,K44.1
1052,1,1,K71
1053,1,1,K1741.2
1059*,1,1,K1117
1060,1,1,K62
1060A,1,1,K73
1061,1,1,K63
1062,1,1,K18.3
1063,1,1,K18.2
1063A,1,1,K18.1
1063A,2,1,K18.1.1
1063A,3,1,K18.1.2
107,1,1,J1023
1070,1,1,K12.1
1071,1,1,K12.2
1072,1,1,K11.6
1073,1,1,K15.1
1074,1,1,K11.1
1080*,1,1,J1169.5
1080*,2,1,K87.1
1082,1,1,K72
1083,1,1,K785
1084,1,1,K84.1
1085,1,1,K61
1086,1,1,K17.1
1087,1,1,K14
1088,1,1,K81.1
1088,1,2,K82.3
1089,1,1,K42.1
1090,1,1,K42.2
1091,1,1,K216.2
1091,1,2,K31.1
1091A,1,1,H522
1091A,2,1,K216.2.1
1094,1,1,K91
1095,1,1,K83.1
1095,1,2,K83.2
1096,1,1,K47
1099,1,1,F531.6.6
1099,1,2,Q551.3.4
110,1,1,J671.1
111,1,1,K561.1.1
1115,1,1,K525.1
1116,1,1,K1733
1117,1,1,K1601
1119,1,1,K1611
111A,1,1,U31
112,1,1,J211.2
112**,1,1,J132
1121,1,1,G512.3.2.1
1122,1,1,G519.1
1130,1,1,K275
1131,1,1,G512.3.1
1131,2,1,K1033
1133,1,1,K1012.1
1133,1,2,K241
1133,1,3,K1012.2
1135,1,1,K1010
1135,1,2,K1011
1137,1,1,F512.1.1
1137,1,2,G100
1137,1,3,K1010
1137,1,4,K1011
1137,1,5,K521.1
1137,1,6,K603
1137,1,7,D1612.2.1
1137,2,1,F531.1.1.1
1137,2,2,G100
1137,2,3,K1010
1137,2,4,K1011
1137,2,5,K521.1
1137,2,6,K603
1137,2,7,D1612.2.1
1138,1,1,K1013.1
1139,1,1,K522.2
113A,1,1,B342
113B,1,1,K815.13
113B,2,1,K815.7
1140,1,1,K331.1
1141,1,1,R351
1141,1,2,J1791.6.2
1142,1,1,K1181
1145,1,1,K2345
1146,1,1,K1718.2
1147,1,1,K1718.1
1147,1,2,K1177
1149,1,1,K1715.4
1149,1,2,K1715.2
1149,1,3,K1715
1150,1,1,K1725
1151,1,1,K1717
1152,1,1,K1711.1
1152,1,2,K1715.12
1152,1,3,K1715.12
1152,1,4,G572.2
1152,1,5,K2324.1
1152,2,1,K1715.12
1152,2,2,K1715.12
1152,2,3,K1715.12
1152,2,4,G572.2
1152,2,5,K2324.1
1153,1,1,K1732
1157,1,1,K1057
1157,1,2,J2131.4.1
1159,1,1,K1111.0.1
1159,1,2,K1755
1159,1,3,K1111.1
116,1,1,J1762.2
1161,1,1,K1728
1162,1,1,K1756
1163,1,1,G651
1164,1,1,T251.1.2.1
1164,1,2,T251.1.2.2
1164,1,3,K1955.6
1164,1,4,K2325
1165,1,1,K1736
1166*,1,1,G303.16.3.2
1168,1,1,K335
1168A,1,1,J1795.1
1168A,2,1,K1715.1
1168A,3,1,K1883.7
1168B,1,1,N699.5
1168C,1,1,K1841.3
1169,1,1,A1371.1
1169,2,1,E34
117,1,1,J2187
1170,1,1,K216.1
1170,1,2,H1153
1171,1,1,H1024.3
1172,1,1,H1124
1173A,1,1,K175
1174,1,1,H1021.1
1175,1,1,H1023.4
1176,1,1,H1023.13
1176,1,2,H1021.4
1176,1,3,H1023.12
1177,1,1,M211
1177,1,2,K526
1177**,1,1,H1014
1178,1,1,G303.16.19.3
1178,1,2,H1094.1
1179,1,1,H1023.5
118,1,1,J2351.4
1180,1,1,H1023.2
1182,1,1,K223
1182A,1,1,K183
1183,1,1,H1023.6
1184,1,1,K222
1185,1,1,K221
1185,1,2,K170
1185*,1,1,K226
1186,1,1,M215
1187,1,1,E765.1.1
1187,2,1,K551.9
1188,1,1,K231.12.1
1190*,1,1,K215
1191,1,1,S241.1
1191,1,2,J1169.4
1192,1,1,G303.3.1
1192,1,2,G303.3.1.6
1199,1,1,K551.1
1199,1,2,K555.2
1199,2,1,K551.1
1199,2,2,K555.2.2
1199A,1,1,G303.17.1.1
1199A,1,2,K555.1.1
1199A,2,1,G303.17.1.1
1199A,2,2,K555.1.2
119B*,1,1,J1022
120,1,1,K52.1
1200,1,1,J1932.3
1200,1,2,J1932.1
1200,1,3,J1932.5
1200,1,4,J2348
1200,1,5,J1932.4
1201,1,1,J2163
1202,1,1,J2196
1202,1,2,J1865
1203,1,1,J2422
1204,1,1,J2671.2
1204**,1,1,J1900
121,1,1,J2133.6
1211,1,1,J1835
1213,1,1,J1904.2
1214,1,1,J2087
1215,1,1,J1041.2
1215,1,2,J1041
1218,1,1,J1902.1
1218,1,2,K1253
1225,1,1,J2381
1225A,1,1,J2382
1227,1,1,J2661.3
1228,1,1,J2131.4.1
1228,1,2,J1772.10
1229,1,1,X1133.3.2
122A,1,1,K551.8
122A,1,2,K551.3.4
122A,1,3,K551.1
122B,1,1,K562
122B*,1,1,K562.1
122C,1,1,K561.2
122D,1,1,K553.1
122E,1,1,K553.2
122F,1,1,K553
122G,1,1,K553.5
122H,1,1,K551.12
122K*,1,1,K579.5.1
123,1,1,K1832
123,1,2,K1839.1
123,1,3,F913
123,1,4,Q426
123,1,5,J144
123,2,1,K311.3
123,2,2,K1839.1
123,2,3,F913
123,2,4,Q426
123,2,5,J144
1230**,1,1,J2521.2
1231,1,1,J2612
1238,1,1,J2171.2.1
123B,1,1,K828.1
123B,2,1,K934
124,1,1,J2133.7
124,2,1,K891.1.
1240,1,1,J2133.4
1241,1,1,J1973
1241,1,2,J2131.5.3
1242,1,1,J2213.4
1242A,1,1,J1874.1
1242A,1,2,J1874.2
1243,1,1,J2165
1244,1,1,J1964.1
1245,1,1,J2123
1245,1,2,J1961
1245,1,3,J1961.1
1246,1,1,J2171.4
1247,1,1,J2131.5.4
125,1,1,K1715.3
1250,1,1,J2133.5
1250A,1,1,J2133.6.1
1255,1,1,J1934
126,1,1,K1715
1260,1,1,J1938
1262,1,1,J1191.7
1262,1,2,J1945
1262*,1,1,J2421
1263,1,1,J2167
1264*,1,1,J1875.2
1265*,1,1,J2083.2
1266*,1,1,J2083.1
1270,1,1,J2122
1271A*,1,1,J1942
1271C*,1,1,J1873.2
1272*,1,1,J2121
1273A*,1,1,J1967
1275,1,1,J2333
1276,1,1,J2164.1
1276,2,1,J2164.2
1278,1,1,J1922.1
1278,1,2,J1922.2.1
127A*,1,1,K2061.4
127A*,2,1,K815
127B*,1,1,J2136.3
1281,1,1,J2101
1281A,1,1,J1815
1282,1,1,J2102.4
1284,1,1,J2012
1284B,1,1,J2012.5
1285,1,1,J2161.2
1286,1,1,J2162
1287,1,1,J2031
1287,1,2,J2031.1
1288,1,1,J2021
