type_name,atu_id,url
Advice Well Taken,0910b,http://www.pitt.edu/~dash/type0910b.html
Air Castles,1430,http://www.pitt.edu/~dash/type1430.html
Androcles and the Lion,0156,http://www.pitt.edu/~dash/type0156.html
Animal Brides,0402,http://www.pitt.edu/~dash/type0402.html
Ant and Grasshopper,0280a,http://www.pitt.edu/~dash/type0280a.html
The Bear Trainer and His Cat,1161,http://www.pitt.edu/~dash/type1161.html
Bearskin,0361,http://www.pitt.edu/~dash/type0361.html
Beauty and the Beast,0425c,http://www.pitt.edu/~dash/type0425c.html
The Bell of Justice,0207c,http://www.pitt.edu/~dash/type0207c.html
Sunken Bells,7070,http://www.pitt.edu/~dash/type7070.html
The Bird's Three Precepts,0150,http://www.pitt.edu/~dash/type0150.html
The Birthmarks of the Princess,0850,http://www.pitt.edu/~dash/type0850.html
The Black School,3000,http://www.pitt.edu/~dash/type3000.html
The Blind Men and the Elephant,1317,http://www.pitt.edu/~dash/type1317.html
The Blood Brothers,0303,http://www.pitt.edu/~dash/type0303.html
The Blue Light,0562,http://www.pitt.edu/~dash/type0562.html
Bluebeard,0312,http://www.pitt.edu/~dash/type0312.html
The Boy Who Had Never Seen a Woman,1678,http://www.pitt.edu/~dash/type1678.html
The Enchanted Pear Tree,1423,http://www.pitt.edu/~dash/type1423.html
The Three-Ring Parable,0972,http://www.pitt.edu/~dash/type0972.html
The Bremen Town Musicians,0130,http://www.pitt.edu/~dash/type0130.html
Bride Tests,1451,http://www.pitt.edu/~dash/type1451.html
The Brothers Who Were Turned into Birds,0451,http://www.pitt.edu/~dash/type0451.html
Cattarinetta,0333a,http://www.pitt.edu/~dash/type0333a.html
Type 2015: Nanny Who Wouldn't Go Home to Supper,2015,http://www.pitt.edu/~dash/type2015.html
Type 2022: Mourning the Death of a Spouse,2022,http://www.pitt.edu/~dash/type2022.html
Type 2025: The Runaway Pancake,2025,http://www.pitt.edu/~dash/type2025.html
Type 2030,2030,http://www.pitt.edu/~dash/type2030.html
Type 2031C: The Mouse Who Was to Marry the Sun,2031c,http://www.pitt.edu/~dash/type2031c.html
Type 2032,2032,http://www.pitt.edu/~dash/type2032.html
Type 20C (formerly type 2033): The End of the World (The Sky Is Falling In),2033,http://www.pitt.edu/~dash/type2033.html
Type 2034D,2034d,http://www.pitt.edu/~dash/type2034d.html
Type 2035: The House That Jack Built,2035,http://www.pitt.edu/~dash/type2035.html
Type 2043: What Have You Got There?,2043,http://www.pitt.edu/~dash/type2043.html
Child Custody,0926,http://www.pitt.edu/~dash/type0926.html
Cinderella,0510a,http://www.pitt.edu/~dash/type0510a.html
"The
Father Who Wanted to Marry His Daughter",0510b,http://www.pitt.edu/~dash/type0510b.html
Clothes Make the Man,1558,http://www.pitt.edu/~dash/type1558.html
A Corpse Claims Its Property,0366,http://www.pitt.edu/~dash/type0366.html
"The Crane, the Crab, and the Fish",0231,http://www.pitt.edu/~dash/type0231.html
Crop Division between Man and Ogre,1030,http://www.pitt.edu/~dash/type1030.html
Dancing in Thorns,0592,http://www.pitt.edu/~dash/type0592.html
"Death of an Underground Person, or of the King of the Cats",6070b,http://www.pitt.edu/~dash/type6070b.html
Death's Messengers,0335,http://www.pitt.edu/~dash/type0335.html
How the Devil Married Three Sisters,0311,http://www.pitt.edu/~dash/type0311.html
The Devil (or Ogre) and the Gun,1157,http://www.pitt.edu/~dash/type1157.html
Deceiving the Devil with a Rope of Sand,1174,http://www.pitt.edu/~dash/type1174.html
Straightening a Curly Hair,1175,http://www.pitt.edu/~dash/type1175.html
Deceiving the Devil by Breaking Wind,1176,http://www.pitt.edu/~dash/type1176.html
Devil's Bridge Legends,1191,http://www.pitt.edu/~dash/type1191.html
Dividing Souls in the Graveyard,1791,http://www.pitt.edu/~dash/type1791.html
Doctor Know-All,1641,http://www.pitt.edu/~dash/type1641.html
Dream Bread,1626,http://www.pitt.edu/~dash/type1626.html
Dream Treasure Turns to Filth,1645b,http://www.pitt.edu/~dash/type1645b.html
"The Man Who Became Rich
through a Dream",1645,http://www.pitt.edu/~dash/type1645.html
Eat Me When I'm Fatter,0122f,http://www.pitt.edu/~dash/type0122f.html
The Emperor's New Clothes,1620,http://www.pitt.edu/~dash/type1620.html
End of the World,2033,http://www.pitt.edu/~dash/type2033.html
Fairies' Hope for Christian Salvation,5050,http://www.pitt.edu/~dash/type5050.html
A Fairy Captured,6010,http://www.pitt.edu/~dash/type6010.html
Fairy Cup Legends,6045,http://www.pitt.edu/~dash/type6045.html
Fairy Gifts,0503,http://www.pitt.edu/~dash/type0503.html
The Faithful Wife,0888,http://www.pitt.edu/~dash/type0888.html
"The Father Who Wanted to Marry His
Daughter",0510b,http://www.pitt.edu/~dash/type0510b.html
The Fisherman and His Wife,0555,http://www.pitt.edu/~dash/type0555.html
The Flying Dutchman,0777,http://www.pitt.edu/~dash/type0777ast.html
The Foolish Friend,1586,http://www.pitt.edu/~dash/type1586.html
Foolish Wishes,0750a,http://www.pitt.edu/~dash/type0750a.html
"A Fool Does Not Count the 
Animal He Is Riding",1288a,http://www.pitt.edu/~dash/type1288a.html
The Fool Whose Wishes All Came True,0675,http://www.pitt.edu/~dash/type0675.html
Fools Cannot Count Themselves,1287,http://www.pitt.edu/~dash/type1287.html
Forgiveness and Redemption,0756,http://www.pitt.edu/~dash/type0756.html
The Fox and the Cat,0105,http://www.pitt.edu/~dash/type0105.html
The Fox and the Crow,0057,http://www.pitt.edu/~dash/type0057.html
The Fox (or Jackal) and the Fleas,0063,http://www.pitt.edu/~dash/type0063.html
The Fox Steals the Butter,0015,http://www.pitt.edu/~dash/type0015.html
"The Fox, the Wolf, and the Horse",0047e,http://www.pitt.edu/~dash/type0047e.html
Frau Holle and Other Tales of Type 480,0480,http://www.pitt.edu/~dash/type0480.html
The Two Frogs,0278a,http://www.pitt.edu/~dash/type0278a.html
Haunted by the Ghost of a Murdered Child,4025,http://www.pitt.edu/~dash/type4025.html
The Girl without Hands,0706,http://www.pitt.edu/~dash/type0706.html
Godfather Death,0332,http://www.pitt.edu/~dash/type0332.html
The Grateful Animals and the Ungrateful Man,0160,http://www.pitt.edu/~dash/type0160.html
The Grateful Dead,0505,http://www.pitt.edu/~dash/type0505.html
Greed,0068a,http://www.pitt.edu/~dash/type0068a.html
Hand from the Grave,0779,http://www.pitt.edu/~dash/type0779.html
Hanging Game,1066,http://www.pitt.edu/~dash/type1066.html
"Hansel and Gretel, and 
other type 
327 folktales about 
abandoned children",0327,http://www.pitt.edu/~dash/type0327.html
"Hello, House!",0066a,http://www.pitt.edu/~dash/type0066a.html
The Himphamp,0571b,http://www.pitt.edu/~dash/type0571b.html
Catching a Horse by Its Tail,0047a,http://www.pitt.edu/~dash/type0047a.html
Hot and Cold with the Same Breath,1342,http://www.pitt.edu/~dash/type1342.html
Ingratitude Is the World's Reward,0155,http://www.pitt.edu/~dash/type0155.html
Jack and the Beanstalk,0328,http://www.pitt.edu/~dash/type0328jack.html
The Jackal and the Farmer,0154,http://www.pitt.edu/~dash/type0154.html
The Language of Animals,0670,http://www.pitt.edu/~dash/type0670.html
The Lion in the Water,0092,http://www.pitt.edu/~dash/type0092.html
The Sick Lion,0050,http://www.pitt.edu/~dash/type0050.html
Llewellyn and His Dog Gellert,0178a,http://www.pitt.edu/~dash/type0178a.html
The Bell of Atri,0207c#longfellow,http://www.pitt.edu/~dash/type0207c.html#longfellow
Lying Tales,1965,http://www.pitt.edu/~dash/type1965.html
Man and Serpent,0285d,http://www.pitt.edu/~dash/type0285d.html
"The Man, the Boy, and the Donkey",1215,http://www.pitt.edu/~dash/type1215.html
The Mermaid Wife,4080,http://www.pitt.edu/~dash/type4080.html
Midas,0782,http://www.pitt.edu/~dash/type0782.html
The Monkey's Heart,0091,http://www.pitt.edu/~dash/type0091.html
The Moon in the Well,1335a,http://www.pitt.edu/~dash/type1335a.html
"Every Mother Thinks Her Child Is the Most
Beautiful",0247,http://www.pitt.edu/~dash/type0247.html
"Mother Killed Me, Father 
Ate Me",0720,http://www.pitt.edu/~dash/type0720.html
The Iron-Eating Mice,1592,http://www.pitt.edu/~dash/type1592.html
The Mouse Who Was to Marry the Sun,2031c,http://www.pitt.edu/~dash/type2031c.html
