gutenberg_id,title,author,language,gutenberg_bookshelf
338,Old Indian Legends,Zitkala-Sa,en,Native America
341,Myths and Legends of the Sioux,"McLaughlin, Marie L.",en,Folklore/Native America
503,The Blue Fairy Book,"Lang, Andrew",en,Children's Literature
677,"The Heroes; Or, Greek Fairy Tales for My Children","Kingsley, Charles",en,"Children's Myths, Fairy Tales, etc."
1597,Andersen's Fairy Tales,"Andersen, H. C. (Hans Christian)",en,"Best Books Ever Listings/Harvard Classics/Children's Myths, Fairy Tales, etc."
2198,Stories from the Pentamerone,"Basile, Giambattista",en,
2503,Myths and Legends of California and the Old Southwest,NA,en,Folklore/Native America
4018,Japanese Fairy Tales,"Ozaki, Yei Theodora",en,"Folklore/Children's Myths, Fairy Tales, etc."
5245,Tales from the Arabic — Complete,NA,en,
6145,Tales of the Punjab: Folklore of India,"Steel, Flora Annie Webster",en,
6606,Myths and Legends of Our Own Land — Volume 01: the Hudson and its hills,"Skinner, Charles M. (Charles Montgomery)",en,
6607,Myths and Legends of Our Own Land — Volume 02 : the Isle of Manhattoes and nearby,"Skinner, Charles M. (Charles Montgomery)",en,
6611,Myths and Legends of Our Own Land — Volume 06 : Central States and Great Lakes,"Skinner, Charles M. (Charles Montgomery)",en,
7518,More Jataka Tales,"Babbitt, Ellen C.",en,
7871,Dutch Fairy Tales for Young Folks,"Griffis, William Elliot",en,"Folklore/Children's Myths, Fairy Tales, etc."
7885,Celtic Fairy Tales,NA,en,"Folklore/Children's Myths, Fairy Tales, etc."
8299,Filipino Popular Tales,NA,en,Folklore
8599,Fairy Tales from the Arabian Nights,"Dixon, E.",en,"Children's Myths, Fairy Tales, etc."
9313,Old Greek Folk Stories Told Anew,"Peabody, Josephine Preston",en,
9368,Welsh Fairy Tales,"Griffis, William Elliot",en,"Folklore/Children's Myths, Fairy Tales, etc."
11028,Philippine Folk-Tales,"Bayliss, Clara Kern",en,Folklore
11167,"Deccan Nursery Tales; or, Fairy Tales from the South","Kincaid, C. A. (Charles Augustus)",en,
11547,Blackfoot Lodge Tales: The Story of a Prairie People,"Grinnell, George Bird",en,Folklore/Native America
11938,Folklore of the Santal Parganas,"Bompas, Cecil Henry",en,Folklore/India
12814,Philippine Folk Tales,NA,en,Folklore
13015,Tales of Old Japan,"Redesdale, Algernon Bertram Freeman-Mitford, Baron",en,Folklore
13725,Stories from the Odyssey,Homer,en,
13833,Blackfeet Indian Stories,"Grinnell, George Bird",en,Native America
14241,More English Fairy Tales,NA,en,"Children's Myths, Fairy Tales, etc."
15186,Folk-Lore and Legends: Scandinavian,NA,en,
17071,Folk-Lore and Legends: Scotland,Anonymous,en,Folklore
18674,A Chinese Wonder Book,"Pitman, Norman Hinsdale",en,"Folklore/Children's Myths, Fairy Tales, etc."
19994,"The Aesop for Children
With pictures by Milo Winter",Aesop,en,
20552,Roumanian Fairy Tales,NA,en,"Children's Myths, Fairy Tales, etc."
20916,The Arabian Nights: Their Best-known Tales,NA,en,Children's Literature/Harvard Classics
22072,Folk-Lore and Legends: North American Indian,Anonymous,en,Folklore/Native America
22096,Stories the Iroquois Tell Their Children,"Powers, Mabel",en,"Folklore/Native America/Children's Myths, Fairy Tales, etc."
22420,The Book of Nature Myths,"Holbrook, Florence",en,"Children's Instructional Books/Children's Myths, Fairy Tales, etc."
22693,A Book of Myths,"Lang, Jean",en,"Folklore/Children's Myths, Fairy Tales, etc."
24473,The Cat and the Mouse: A Book of Persian Fairy Tales,NA,en,"Folklore/Children's Myths, Fairy Tales, etc."
24569,A Treasury of Eskimo Tales,"Bayliss, Clara Kern",en,Folklore
24714,Fairy Tales from Brazil: How and Why Tales from Brazilian Folk-Lore,"Eells, Elsie Spicer",en,"Children's Myths, Fairy Tales, etc."
24811,Viking Tales,"Hall, Jennie",en,"Folklore/Children's Myths, Fairy Tales, etc."
24948,Finnish Legends for English Children,"Eivind, R.",en,
24978,Thirty Indian Legends,"Bemister, Margaret",en,
25555,Fairy Tales of the Slav Peasants and Herdsmen,"Chodzko, Alexander",en,"Folklore/Children's Myths, Fairy Tales, etc."
26070,Chinese Folk-Lore Tales,"Macgowan, J. (John)",en,
27467,Stories to Read or Tell from Fairy Tales and Folklore,NA,en,
28932,Eskimo Folk-Tales,NA,en,
29551,Told by the Northmen: Stories from the Eddas and Sagas,"Wilmot-Buxton, E. M. (Ethel Mary)",en,
29672,Cossack Fairy Tales and Folk Tales,NA,en,
30109,"The Russian Garland, Being Russian Folk Tales",NA,en,
30577,Told in the Coffee House: Turkish Tales,"Adler, Cyrus",en,
30635,"The Talking Thrush, and Other Tales from India","Crooke, William",en,
30973,East of the Sun and West of the Moon: Old Tales from the North,"Asbjørnsen, Peter Christen",en,
31481,Tales from the Lands of Nuts and Grapes (Spanish and Portuguese Folklore),"Sellers, Charles",en,
32375,Shan Folk Lore Stories from the Hill and Water Country,"Griggs, William Charles",en,
